note,book,page,figure,ticker,yahoo_symbol,date_range,confidence,download_status,tags,concepts,note_path,chart,csv
Trade Like a Stock Market Wizard - Figure 4-11 - HD - page 76,Trade Like a Stock Market Wizard,76,4.11,HD,HD,1988-2008,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 4-11 - HD - page 76.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-4-11-hd-page-76_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-4-11-hd-page-76_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-1 - AMGN - page 82,Trade Like a Stock Market Wizard,82,5.1,AMGN,AMGN,1987-1989,caption-with-ticker,OK,stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-1 - AMGN - page 82.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-1-amgn-page-82_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-1-amgn-page-82_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-3 - AMGN - page 86,Trade Like a Stock Market Wizard,86,5.3,AMGN,AMGN,1992-1992,caption-with-ticker,OK,vcp-or-tightening; volume-dry-up; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-3 - AMGN - page 86.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-3-amgn-page-86_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-3-amgn-page-86_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-4 - AMGN - page 88,Trade Like a Stock Market Wizard,88,5.4,AMGN,AMGN,1993-1993,caption-with-ticker,OK,volume-dry-up; stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-4 - AMGN - page 88.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-4-amgn-page-88_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-4-amgn-page-88_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-5 - AMGN - page 90,Trade Like a Stock Market Wizard,90,5.5,AMGN,AMGN,1993-1993,caption-with-ticker,OK,volume-dry-up; failed-breakout-or-stage-4,Risk First; Sell Rules and Failure Signals; Trend Template; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-5 - AMGN - page 90.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-5-amgn-page-90_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-5-amgn-page-90_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-6 - AMGN - page 91,Trade Like a Stock Market Wizard,91,5.6,AMGN,AMGN,1989-1997,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-6 - AMGN - page 91.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-6-amgn-page-91_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-6-amgn-page-91_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-7 - manual-review - page 92,Trade Like a Stock Market Wizard,92,5.7,,,2007-2011,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-7 - manual-review - page 92.md,,
Trade Like a Stock Market Wizard - Figure 5-8 - WTW - page 92,Trade Like a Stock Market Wizard,92,5.8,WTW,WTW,2009-2012,caption-with-ticker,OK,vcp-or-tightening; volume-dry-up; failed-breakout-or-stage-4,Pivot and Entry; Risk First; Sell Rules and Failure Signals; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-8 - WTW - page 92.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-8-wtw-page-92_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-8-wtw-page-92_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-9 - NOVL - page 93,Trade Like a Stock Market Wizard,93,5.9,NOVL,NOVL,1989-1998,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-9 - NOVL - page 93.md,,
Trade Like a Stock Market Wizard - Figure 5-10 - NOVL - page 93,Trade Like a Stock Market Wizard,93,5.10,NOVL,NOVL,1994-1996,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-10 - NOVL - page 93.md,,
Trade Like a Stock Market Wizard - Figure 5-11 - AMGN - page 96,Trade Like a Stock Market Wizard,96,5.11,AMGN,AMGN,1987-1994,caption-with-ticker,OK,vcp-or-tightening; failed-breakout-or-stage-4,Pivot and Entry; Risk First; Sell Rules and Failure Signals; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-11 - AMGN - page 96.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-11-amgn-page-96_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-11-amgn-page-96_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-12 - DECK - page 97,Trade Like a Stock Market Wizard,97,5.12,DECK,DECK,2006-2008,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-12 - DECK - page 97.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-12-deck-page-97_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-12-deck-page-97_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-13 - SYK - page 97,Trade Like a Stock Market Wizard,97,5.13,SYK,SYK,1990-1995,caption-with-ticker,OK,vcp-or-tightening; volume-dry-up; climax-or-exhaustion; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Sell Rules and Failure Signals; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-13 - SYK - page 97.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-13-syk-page-97_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-13-syk-page-97_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-14 - NFLX - page 99,Trade Like a Stock Market Wizard,99,5.14,NFLX,NFLX,2008-2012,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-14 - NFLX - page 99.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-14-nflx-page-99_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-14-nflx-page-99_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-15 - manual-review - page 100,Trade Like a Stock Market Wizard,100,5.15,,,2004-2009,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-15 - manual-review - page 100.md,,
Trade Like a Stock Market Wizard - Figure 5-16 - BAC - page 101,Trade Like a Stock Market Wizard,101,5.16,BAC,BAC,2001-2009,caption-with-ticker,OK,failed-breakout-or-stage-4,Risk First; Sell Rules and Failure Signals; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-16 - BAC - page 101.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-16-bac-page-101_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-16-bac-page-101_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-17 - VICR - page 102,Trade Like a Stock Market Wizard,102,5.17,VICR,VICR,1990-1993,caption-with-ticker,OK,vcp-or-tightening; failed-breakout-or-stage-4,Pivot and Entry; Risk First; Sell Rules and Failure Signals; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-17 - VICR - page 102.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-17-vicr-page-102_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-17-vicr-page-102_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-19 - GMCR - page 103,Trade Like a Stock Market Wizard,103,5.19,GMCR,GMCR,2010-2012,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-19 - GMCR - page 103.md,,
Trade Like a Stock Market Wizard - Figure 5-18 - CROX - page 103,Trade Like a Stock Market Wizard,103,5.18,CROX,CROX,2006-2009,caption-with-ticker,OK,vcp-or-tightening; failed-breakout-or-stage-4,Pivot and Entry; Risk First; Sell Rules and Failure Signals; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-18 - CROX - page 103.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-18-crox-page-103_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-18-crox-page-103_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-20 - CMG - page 104,Trade Like a Stock Market Wizard,104,5.20,CMG,CMG,2011-2012,caption-with-ticker,OK,vcp-or-tightening; volume-dry-up; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-20 - CMG - page 104.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-20-cmg-page-104_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-20-cmg-page-104_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-21 - CROX - page 105,Trade Like a Stock Market Wizard,105,5.21,CROX,CROX,2007-2007,caption-with-ticker,OK,failed-breakout-or-stage-4,Risk First; Sell Rules and Failure Signals; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-21 - CROX - page 105.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-21-crox-page-105_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-21-crox-page-105_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-22 - CROX - page 106,Trade Like a Stock Market Wizard,106,5.22,CROX,CROX,2006-2009,caption-with-ticker,OK,vcp-or-tightening; failed-breakout-or-stage-4,Pivot and Entry; Risk First; Sell Rules and Failure Signals; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-22 - CROX - page 106.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-22-crox-page-106_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-22-crox-page-106_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-24 - OPEN - page 107,Trade Like a Stock Market Wizard,107,5.24,OPEN,OPEN,2011-2011,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-24 - OPEN - page 107.md,,
Trade Like a Stock Market Wizard - Figure 5-23 - OPEN - page 107,Trade Like a Stock Market Wizard,107,5.23,OPEN,OPEN,2011-2011,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-23 - OPEN - page 107.md,,
Trade Like a Stock Market Wizard - Figure 5-25 - ILMN - page 108,Trade Like a Stock Market Wizard,108,5.25,ILMN,ILMN,2011-2011,caption-with-ticker,OK,volume-dry-up; failed-breakout-or-stage-4,Risk First; Sell Rules and Failure Signals; Trend Template; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-25 - ILMN - page 108.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-25-ilmn-page-108_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-25-ilmn-page-108_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 5-26 - ILMN - page 109,Trade Like a Stock Market Wizard,109,5.26,ILMN,ILMN,2011-2011,caption-with-ticker,OK,volume-dry-up; stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 5-26 - ILMN - page 109.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-5-26-ilmn-page-109_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-5-26-ilmn-page-109_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 6-1 - NFLX - page 118,Trade Like a Stock Market Wizard,118,6.1,NFLX,NFLX,2002-2011,caption-with-ticker,OK,stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 6-1 - NFLX - page 118.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-6-1-nflx-page-118_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-6-1-nflx-page-118_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 6-2 - AAPL - page 121,Trade Like a Stock Market Wizard,121,6.2,AAPL,AAPL,1985-2010,caption-with-ticker,OK,stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template,Book Stock Images/Trade Like a Stock Market Wizard - Figure 6-2 - AAPL - page 121.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-6-2-aapl-page-121_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-6-2-aapl-page-121_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 6-3 - WFMI - page 124,Trade Like a Stock Market Wizard,124,6.3,WFMI,WFMI,1993-2005,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 6-3 - WFMI - page 124.md,,
Trade Like a Stock Market Wizard - Figure 6-4 - manual-review - page 129,Trade Like a Stock Market Wizard,129,6.4,,,1900-1990,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 6-4 - manual-review - page 129.md,,
Trade Like a Stock Market Wizard - Figure 6-5 - manual-review - page 130,Trade Like a Stock Market Wizard,130,6.5,,,1970-2000,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 6-5 - manual-review - page 130.md,,
Trade Like a Stock Market Wizard - Figure 7-1 - manual-review - page 133,Trade Like a Stock Market Wizard,133,7.1,,,2006-2011,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-1 - manual-review - page 133.md,,
Trade Like a Stock Market Wizard - Figure 7-2 - URBN - page 137,Trade Like a Stock Market Wizard,137,7.2,URBN,URBN,2003-2007,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-2 - URBN - page 137.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-7-2-urbn-page-137_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-7-2-urbn-page-137_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 7-3 - manual-review - page 140,Trade Like a Stock Market Wizard,140,7.3,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-3 - manual-review - page 140.md,,
Trade Like a Stock Market Wizard - Figure 7-4 - manual-review - page 141,Trade Like a Stock Market Wizard,141,7.4,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-4 - manual-review - page 141.md,,
Trade Like a Stock Market Wizard - Figure 7-5 - CROX - page 144,Trade Like a Stock Market Wizard,144,7.5,CROX,CROX,2006-2009,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-5 - CROX - page 144.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-7-5-crox-page-144_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-7-5-crox-page-144_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 7-6 - VICR - page 145,Trade Like a Stock Market Wizard,145,7.6,VICR,VICR,1990-1993,caption-with-ticker,OK,vcp-or-tightening; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-6 - VICR - page 145.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-7-6-vicr-page-145_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-7-6-vicr-page-145_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 7-7 - manual-review - page 146,Trade Like a Stock Market Wizard,146,7.7,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-7 - manual-review - page 146.md,,
Trade Like a Stock Market Wizard - Figure 7-8 - ELN - page 147,Trade Like a Stock Market Wizard,147,7.8,ELN,ELN,1990-2009,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-8 - ELN - page 147.md,,
Trade Like a Stock Market Wizard - Figure 7-9 - FFIV - page 148,Trade Like a Stock Market Wizard,148,7.9,FFIV,FFIV,2007-2011,caption-with-ticker,OK,volume-dry-up; stage-2-leadership,Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-9 - FFIV - page 148.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-7-9-ffiv-page-148_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-7-9-ffiv-page-148_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 7-10 - manual-review - page 149,Trade Like a Stock Market Wizard,149,7.10,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-10 - manual-review - page 149.md,,
Trade Like a Stock Market Wizard - Figure 7-11 - APOL - page 150,Trade Like a Stock Market Wizard,150,7.11,APOL,APOL,1999-2004,caption-with-ticker,FAILED: Yahoo returned no usable OHLCV,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-11 - APOL - page 150.md,,
Trade Like a Stock Market Wizard - Figure 7-12 - manual-review - page 151,Trade Like a Stock Market Wizard,151,7.12,,,2003-2010,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-12 - manual-review - page 151.md,,
Trade Like a Stock Market Wizard - Figure 7-13 - manual-review - page 152,Trade Like a Stock Market Wizard,152,7.13,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-13 - manual-review - page 152.md,,
Trade Like a Stock Market Wizard - Figure 7-14 - manual-review - page 153,Trade Like a Stock Market Wizard,153,7.14,,,1995-2009,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-14 - manual-review - page 153.md,,
Trade Like a Stock Market Wizard - Figure 7-15 - HD - page 154,Trade Like a Stock Market Wizard,154,7.15,HD,HD,1992-2008,caption-with-ticker,OK,vcp-or-tightening; failed-breakout-or-stage-4,Pivot and Entry; Risk First; Sell Rules and Failure Signals; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 7-15 - HD - page 154.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-7-15-hd-page-154_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-7-15-hd-page-154_ohlcv.csv
Trade Like a Stock Market Wizard - Figure 8-1 - manual-review - page 159,Trade Like a Stock Market Wizard,159,8.1,,,-,caption-no-ticker,SKIPPED: no ticker/year range in caption,manual-review-needed,Mental Discipline,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-1 - manual-review - page 159.md,,
Trade Like a Stock Market Wizard - Figure 8-2 - AAPL - page 161,Trade Like a Stock Market Wizard,161,8.2,AAPL,AAPL,2003-2011,caption-with-ticker,OK,vcp-or-tightening; volume-dry-up; stage-2-leadership,Pivot and Entry; Relative Strength Leadership; Stage 2 Uptrend; Trend Template; Volatility Contraction Pattern; Volume Dry-Up and Accumulation,Book Stock Images/Trade Like a Stock Market Wizard - Figure 8-2 - AAPL - page 161.md,assets/book_stock_charts/trade-like-a-stock-market-wizard/trade-like-a-stock-market-wizard-figure-8-2-aapl-page-161_yahoo_rebuild.png,data/book_stock_images/trade-like-a-stock-market-wizard-figure-8-2-aapl-page-161_ohlcv.csv
